Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Gloom	5DS1	Gloom	Planta	Tierra	5	1400	1600	3	TCG	Cuando esta carta es invocada de forma normal con exito, anade 1 'Toxico' de tu mazo a tu mano. Mezcla el mazo.
Vileplume	5DS1	Vileplume	Planta	Tierra	6	1950	1800	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Hoja"  y enviando al Cementerio 1 'Gloom' en tu lado del campo. Si la carta 'Dia Soleado' se encuentra activa en el campo, durante cada una de tus Draw Phases, roba 1 carta extra. Cuando esta carta destruye 1 Pokemon, incrementa tus Life Points en 500
Paras	5DS1	Paras	Bicho	Tierra	3	550	700	3	TCG	Volteo: cuando esta carta es declarada como objetivo de un ataque, antes del cálculo de dano, la carta atacante no podra atacar, cambiar su posición de batalla o activar efectos por los siguientes 3 turnos de tu oponente.
Parasect	5DS1	Parasect	Bicho	Tierra	5	1100	1700	3	TCG	Cuando esta carta es invocada con exito, envia al Cementerio todas las cartas mágicas/trampa continuas en la Zona de Cartas Mágicas/Trampa de tu oponente cuyos efectos impidan ataques o activación de efectos. En adición, anade 1 'Gigadrenado' de tu mazo a tu mano. Mezcla el mazo
Venonat	5DS1	Venonat	Bicho	Tierra	3	600	500	3	TCG	Una vez por turno, durante tu Standby Phase, puedes voltear 1 carta boca abajo en la Zona de Pokemon o cartas Magicas/Trampa de tu oponente. Luego regresala a su posicion original
Venomoth	5DS1	Venomoth	Bicho	Tierra	5	1700	1500	3	TCG	Una vez por turno, selecciona 1 Pokemon que tu oponente controle. Pierde 400 puntos de DEF
Diglett	5DS1	Diglett	Tierra	Tierra	2	300	500	3	TCG	Esta carta no puede ser destruida como resultado de una batalla. Durante el calculo de dano, reduce a 0 el dano de batalla efectuado por Pokemon Electricos. Cuando es invocada con exito, anade 1 'Excavar' de tu mazo a tu mano. Mezcla el mazo.
Dugtrio	5DS1	Dugtrio	Tierra	Tierra	5	1700	1400	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Mientras esta carta este activa en el campo, ningun Pokemon del oponente puede regresar a la mano o cambiar su posicion de batalla
Meowth	5DS1	Meowth	Normal	Tierra	3	600	400	3	TCG	Cuando esta carta es invocada con exito, roba 1 carta de la parte superior de tu mazo
Persian	5DS1	Persian	Normal	Tierra	5	1600	1550	3	TCG	Cuando esta carta destruye 1 Pokemon, roba 2 cartas de la parte superior de tu mazo
Psyduck	5DS1	Psyduck	Agua	Agua	4	600	400	3	TCG	Si la carta 'Danza Lluvia' se encuentra activa en el campo, puedes invocar esta carta de forma especial. Una vez por turno, descarta 1 carta de  tu mano. Aumenta los puntos de ATK y DEF de esta carta en 400 puntos hasta el final del turno.
Golduck	5DS1	Golduck	Agua	Agua	5	1700	1550	3	TCG	Si la carta 'Islas Espuma' se encuentra activa en el campo, esta carta no puede ser destruida por efectos de cartas magicas/trampa. 
Mankey	5DS1	Mankey	Lucha	Tierra	4	1000	900	3	TCG	Cuando esta carta batalla contra 1 Pokemon con DEF mayor a sus puntos de ATK, duplica el ATK de esta carta hasta el final del turno.
Primeape	5DS1	Primeape	Lucha	Tierra	5	1600	1500	3	TCG	Cuando esta carta es declarada como objetivo de ataque de 1 Pokemon del oponente, antes del calculo de dano, incrementa su ATK  en 600 puntos
Growlithe	5DS1	Growlithe	Fuego	Fuego	4	1300	900	3	TCG	Cuando esta carta es invocada con exito, reduce el ATK de los Pokemon del oponente en 300 puntos
Arcanine	5DS1	Arcanine	Fuego	Fuego	6	1800	1600	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Fuego"  y enviando al Cementerio 1 'Growlithe' en tu lado del campo. Si batalla contra 1 Pokemon de FUEGO, esta carta no puede ser destruida en batalla y reduce a 0 cualquier dano. En adicion, duplica el ATK de esta carta hasta el final del turno
Poliwag	5DS1	Poliwag	Agua	Agua	3	500	700	3	TCG	Esta carta no puede ser destruida en batalla por ataques de Pokemon Agua. 
Poliwhirl	5DS1	Poliwhirl	Agua	Agua	5	1500	1300	3	TCG	Cuando esta carta es invocada con exito, anade 1 'Danza Lluvia' de tu mazo a tu mano. Mezcla el mazo.
Poliwrath	5DS1	Poliwrath	Agua	Agua	6	1900	1700	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Agua"  y enviando al Cementerio 1 'Poliwhirl' en tu lado del campo. Una vez por turno, durante tu Standby Phase, paga la mitad de tus Life Points. Duplica el ATK de esta carta hasta el final del turno
Abra	5DS1	Abra	Psiquico	Luz	2	0	500	3	TCG	Cuando esta carta es declarada como objetivo de ataque de 1 Pokemon, devuelvela a tu mano
Kadabra	5DS1	Kadabra	Psiquico	Luz	5	1600	1000	3	TCG	Esta carta no puede ser seleccionada por efectos que impidan atacar
Alakazam	5DS1	Alakazam	Psiquico	Luz	7	2500	1500	3	TCG	Cuando esta carta es invocada de forma normal con éxito, puedes anadir 1 'Psiquico' de tu mazo a tu mano. Mezcla el mazo. Mientras esta carta permanezca boca arriba en el campo, tu oponente no puede activar efectos que inflijan dano directo a tus Life Points
Machop	5DS1	Machop	Lucha	Tierra	4	1200	1000	3	TCG	Cuando esta carta batalla contra 1 Pokemon Roca, duplica su ATK hasta el final del turno
Machoke	5DS1	Machoke	Lucha	Tierra	5	1700	1800	3	TCG	una vez por turno, durante la fase de batalla de tu turno, aumenta el ATK de esta carta en 700 puntos
Machamp	5DS1	Machamp	Lucha	Tierra	7	2000	1900	3	TCG	Cuando esta carta ataca a 1 Pokemon en posicion de defensa, reduce la DEF del objetivo en 500 puntos
Bellsprout	5DS1	Bellsprout	Planta	Tierra	4	600	400	3	TCG	Si la carta 'Dia Soleado' se encuentra activa en el campo, puedes invocar esta carta de forma especial
Weepinbell	5DS1	Weepinbell	Planta	Tierra	5	1200	900	3	TCG	Cuando esta carta es invocada de forma normal con exito, invoca de forma especial, desde tu mazo o mano, 1 Pokemon Planta
Victreebell	5DS1	Victreebell	Planta	Tierra	6	1500	1600	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Hoja"  y enviando al Cementerio 1 'Weepinbell' en tu lado del campo. Cuando es invocada con exito, anade 1 'Toxico' de tu mazo a tu mano. Mezcla el mazo.
Tentacool	5DS1	Tentacool	Veneno	Agua	3	700	1000	3	TCG	Cuando esta carta declara un ataque, antes del calculo de dano, reduce la DEF del objetivo en 300 puntos
Tentacruel	5DS1	Tentacruel	Agua	Agua	5	1200	1600	3	TCG	Cuando esta carta es invocada con exito, selecciona 1 Pokemon del oponente: no podra atacar mientras esta carta se encuentre boca arriba en tu lado del campo
Geodude	5DS1	Geodude	Roca	Tierra	3	600	1000	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando es declarada como objetivo de ataque de una carta del oponente, cambia esta carta a posicion de defensa
Graveler	5DS1	Graveler	Roca	Tierra	5	900	1700	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Durante la fase de batalla de cualquier jugador, cuando esta carta batalla contra un Pokemon de Viento o Fuego, duplica su ATK
Golem	5DS1	Golem	Roca	Tierra	7	2100	2300	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando esta carta es invocada con exito, anade 1 'Terremoto' de tu mazo a tu mano. Mezcla el mazo
Ponyta	5DS1	Ponyta	Fuego	Fuego	4	1200	1000	3	TCG	Esta carta no puede ser  destruida en batalla por Pokemon Fuego, y ademas reduce a 0 el dano efectuado
Rapidash	5DS1	Rapidash	Fuego	Fuego	6	1600	1400	3	TCG	Cuando esta carta es invocada con exito, reduce el ATK de los Pokemon del oponente en 500 puntos
Slowpoke	5DS1	Slowpoke	Agua	Agua	3	400	600	3	TCG	Volteo: selecciona 1 Pokemon del oponente. Por 3 turnos, no podra atacar, activar efectos o cambiar su posicion de batalla
Slowbro	5DS1	Slowbro	Agua	Agua	5	1100	1500	3	TCG	Una vez por turno, durante tu Standby Phase, paga 500 Life Points. Aumenta el ATK y la DEF de esta carta en 250 puntos
Magnemite	5DS1	Magnemite	Electrico	Luz	3	500	700	3	TCG	Cuando esta carta es invocada con exito, invoca 1 'Magnemite' desde tu mano.
Magneton	5DS1	Magneton	Electrico	Luz	6	1750	1400	3	TCG	Esta carta solo puede ser invocada de forma especial enviando 3 'Magnemite' de tu Campo al Cementerio. Una vez por turno, durante tu Main Phase, selecciona 1 Pokemon del oponente: hasta el final del turno, el Pokemon no podra activar efectos que impidan atacar ni ser seleccionado por cartas que cancelen ataques
Farfetch'd	5DS1	Farfetchd	Volador	Viento	3	700	650	3	TCG	Cuando esta carta es invocada de forma normal con exito, anade 1 'Puerro' de tu mazo a tu mano. Mezcla el mazo
Doduo	5DS1	Doduo	Volador	Viento	3	800	600	3	TCG	Este Pokemon de dos cabezas es el resultado de una mutacion. Cuando corre, puede alcanzar casi 100 km por hora
Dodrio	5DS1	Dodrio	Volador	Viento	5	1700	1500	3	TCG	Cuando esta carta ataca a 1 Pokemon en posición de defensa, inflige dano de penetracion
Seel	5DS1	Seel	Agua	Agua	4	500	600	3	TCG	Si la carta 'Danza Lluvia' se encuentra activa en el campo, esta carta no puede ser seleccionada por efectos que impidan atacar o reduzcan ATK y DEF.
Dewgong	5DS1	Dewgong	Hielo	Agua	5	1500	1200	3	TCG	Durante cada una de las Standby Phase de tu turno, incrementa tus Life Points en 300 puntos
Grimer	5DS1	Grimer	Veneno	Tierra	3	700	800	3	TCG	Volteo: cuando esta carta es declarada como objetivo de ataque, el Pokemon atacante pierde 300 puntos de ATK
Muk	5DS1	Muk	Veneno	Tierra	6	1800	1850	3	TCG	Cuando esta carta es invocada con exito, reduce la DEF de todos los Pokemon del oponente en 500 puntos
Shellder	5DS1	Shellder	Agua	Agua	3	500	1100	3	TCG	Durante la End Phase de tu turno, puedes cambiar esta carta a posicion de defensa
Cloyster	5DS1	Cloyster	Hielo	Agua	5	1600	2000	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Agua"  y enviando al Cementerio 1 'Shellder' en tu lado del campo. Cuando es invocada con exito, anade 1 'Puas' de tu mazo a tu mano. Mezcla el mazo
Gastly	5DS1	Gastly	Fantasma	Oscuridad	3	400	500	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra, Lucha y normal. Una vez por turno, durante tu Standby Phase, inflige dano directo a los Life Points del oponente en un valor equivalente al nivel de esta carta x100
Haunter	5DS1	Haunter	Fantasma	Oscuridad	5	1600	1200	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra, Lucha y normal. Cuando esta carta declara un ataque, antes del calculo de dano, ignora los efectos que impiden atacar. Una vez por turno, durante tu Standby Phase, paga la mitad de tus Life Points. Reduce el ATK de 1 Pokemon en un valor equivalente a los Life Points pagados por este efecto
Gengar	5DS1	Gengar	Fantasma	Oscuridad	7	2000	1600	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra, Lucha y Normal. Cuando esta carta ataca 1 Pokemon, reduce la DEF del objetivo en 500 puntos. Mientras esta carta permanezca boca arriba, tu oponente no puede activar efectos de cartas de Pokemon.
Onix	5DS1	Onix	Roca	Tierra	4	1200	1700	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando es invocada de forma normal, reduce la DEF de todos los Pokemon del oponente en 500 puntos
Drowzee	5DS1	Drowzee	Psiquico	Luz	3	600	400	3	TCG	Esta carta no puede ser seleccionada por efectos que impidan atacar. Cuando destruye a 1 Pokemon afectado por 'Hipnosis', incrementa tus Life Points en un valor equivalente a la diferencia de ATK de ambas cartas
Hypno	5DS1	Hypno	Psiquico	Luz	5	1500	1600	3	TCG	Selecciona 1 Pokemon que el oponente controla: por 1 turno no podra atacar, cambiar su posicion de batalla ni activar efectos
Krabby	5DS1	Krabby	Agua	Agua	3	500	900	3	TCG	Es facil encontrarlo cerca del mar. Las largas pinzas que tiene vuelven a crecer si se las quitan de su sitio
Kingler	5DS1	Kingler	Agua	Agua	5	1700	1900	3	TCG	La pinza tan grande que tiene posee una fuerza de 10,000 caballos de potencia. Pero, por su gran tamano, cuesta moverla
Voltorb	5DS1	Voltorb	Electrico	Luz	3	500	550	3	TCG	Volteo: cuando esta carta es atacada por 1 Pokemon del oponente, despues del calculo de dano, destruye al Pokemon atacante  
Electrode	5DS1	Electrode	Electrico	Luz	5	1100	1300	3	TCG	Selecciona y destruye hasta 2 Pokemon del oponente. Envia esta carta al Cementerio
Exeggcute	5DS1	Exeggcute	Planta	Tierra	3	400	600	3	TCG	Si la carta 'Dia Soleado' se encuentra activa en el campo, roba 1 carta extra en tu Draw Phase
Exeggutor	5DS1	Exeggutor	Planta	Tierra	6	1700	1500	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Hoja"  y enviando al Cementerio 1 'Exeggcute' en tu lado del campo. Cuando es invocada con exito, selecciona 1 Pokemon que el oponente controla: no podra atacar, activar efectos o cambiar su posicion de batalla por los proximos 5 turnos
Cubone	5DS1	Cubone	Tierra	Tierra	4	600	500	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Incrementa el ATK de esta carta en 300 puntos por cada 'Marowak' en tu Campo o Cementerio
Marowak	5DS1	Marowak	Tierra	Tierra	5	1600	1500	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Esta carta puede atacar 2 veces en un mismo turno
Hitmonlee	5DS1	Hitmonlee	Lucha	Tierra	4	1500	1700	3	TCG	Una vez por turno, durante tu Main Phase, busca en tu mazo 1 carta magica cuyo nombre contenga 'Patada'. Mezcla el mazo
Hitmonchan	5DS1	Hitmonchan	Lucha	Tierra	4	1600	1500	3	TCG	Una vez por turno, durante tu Main Phase, busca en tu mazo 1 carta magica cuyo nombre contenga 'Puno'. Mezcla el mazo
Lickitung	5DS1	Lickitung	Normal	Tierra	4	900	1400	3	TCG	La lengua es tan larga que duplica su altura. Es util porque puede moverla para agarrar comida y atacar
Koffing	5DS1	Koffing	Veneno	Tierra	3	500	900	3	TCG	No puede ser seleccionado por ataques de Pokemon Tierra. Cuando esta carta es invocada, anade 1 'Pantalla Humo' de tu mazo a tu mano. Mezcla el mazo
Weezing	5DS1	Weezing	Veneno	Tierra	5	800	1900	3	TCG	No puede ser seleccionado por ataques de Pokemon Tierra. En cada una de tus Standby Phases, inflige 400 puntos de dano a los Life Points del oponente
Rhyhorn	5DS1	Rhyhorn	Roca	Tierra	4	1500	1700	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando batalla contra 1 Pokemon Fuego, reduce el ATK del objetivo a la mitad
Rhydon	5DS1	Rhydon	Roca	Tierra	6	1900	2100	3	TCG	Esta carta no puede ser destruida en batalla por Pokemon Electricos. Cuando ataca a 1 Pokemon en posicion de defensa, inflige dano de penetracion
Chansey	5DS1	Chansey	Normal	Tierra	4	400	2000	2	TCG	Durante cada una de las Standby Phases de tu turno, incrementa tus Life Points en 1000 puntos mientras esta carta permanezca boca arriba en tu lado del Campo
Tangela	5DS1	Tangela	Planta	Tierra	4	1400	1600	3	TCG	Las cintas de tipo alga que tiene a modo de tentaculos le dan su identidad. Es una masa que todo lo enreda
Kangaskhan	5DS1	Kangaskhan	Normal	Tierra	4	1700	1900	3	TCG	La hembra cria a sus pequenos en la bolsa que tiene en la panza. Es muy buena usando Puno Cometa
Horsea	5DS1	Horsea	Agua	Agua	3	300	500	3	TCG	Si la carta 'islas Espuma' se encuentra activa en el campo, puedes invocar esta carta de forma especial. Esta carta no puede ser destruida por efectos de Pokemon
Seadra	5DS1	Seadra	Agua	Agua	5	1600	1500	3	TCG	Cuando esta carta es declarada como objetivo de un ataque, antes del calculo de dano el oponente pierde 400 Life Points 
Goldeen	5DS1	Goldeen	Agua	Agua	3	400	600	3	TCG	Cuando esta carta es invocada de forma normal con exito, los Pokemon Fuego pierden 300 puntos de ATK
Seaking	5DS1	Seaking	Agua	Agua	5	1500	1400	3	TCG	Esta carta no puede ser seleccionada por efectos que reduzcan ATK. Cuando ataca a un Pokemon en posicion de defensa, duplica su ATK hasta el final del turno
Staryu	5DS1	Staryu	Agua	Agua	3	700	600	3	TCG	Volteo: roba 2 cartas de la parte superior de tu mazo
Starmie	5DS1	Starmie	Agua	Agua	5	1600	900	3	TCG	Esta carta solo puede ser invocada por el efecto de "Piedra Agua"  y enviando al Cementerio 1 'Staryu' en tu lado del campo. Cuando es invocada con exito, anade 1 'Giro Rapido' de tu mazo a tu mano. Mezcla el mazo. Durante cada una de las Standby Phases de tu turno, mientras esta carta permanezca boca arriba en tu lado del campo, incrementa tus Life Points en un valor equivalente a la mitad de tus Life Points actuales
Mr. Mime	5DS1	MrMime	Psiquico	Luz	4	1600	1500	3	TCG	Mientras esta carta permanezca boca arriba en tu lado del campo, incrementa la DEF de todos los Pokemon que controles en 500 puntos
Scyther	5DS1	Scyther	Bicho	Viento	4	1500	1400	3	TCG	Durante la Battle Phase de tu turno, cuando esta carta ataca a 1 Pokemon, aumenta su ATK en 500 puntos
Jynx	5DS1	Jynx	Hielo	Luz	4	1600	1000	3	TCG	Selecciona 1 Pokemon que el oponente controla. Durante el proximo turno, el Pokemon seleccionado solo podra atacar a objetivos controlados por el oponente
Electabuzz	5DS1	Electabuzz	Electrico	Luz	4	1550	1200	3	TCG	Cuando esta carta es declarada como objetivo de un ataque, despues del calculo de dano, el Pokemon atacante no podra atacar por los siguientes 3 turnos
Magmar	5DS1	Magmar	Fuego	Fuego	4	1400	1300	3	TCG	Cuando esta carta es declarada como objetivo de un ataque, despues del calculo de dano, el Pokemon atacante pierde 500 puntos de ATK
Pinsir	5DS1	Pinsir	Bicho	Tierra	4	1500	1600	3	TCG	Esta carta no puede ser seleccionada por efectos que reduzcan ATK. Cuando ataca a 1 Pokemon, reduce su DEF en 500 puntos
Tauros	5DS1	Tauros	Normal	Tierra	4	1700	1800	3	TCG	Cuando esta carta es invocada de forma normal con exito, reduce el ATK de todos los Pokemon del oponente en 500 puntos
Magikarp	5DS1	Magikarp	Agua	Agua	2	100	300	3	TCG	No es precisamente rapido ni fuerte. Es el Pokemon mas debilucho y simplon de todos los que hay
Gyarados	5DS1	Gyarados	Agua	Viento	7	2100	1700	3	TCG	Esta carta no puede ser seleccionada por ataques de Pokemon Tierra. Cuando es invocada, reduce el ATK de 1 Pokemon  del oponente en 500 puntos
